2022-02-28 22:16:26,857 | INFO | Played: 1
2022-02-28 22:16:26,857 | INFO | Won%: 100.0
2022-02-28 22:16:26,857 | INFO | ******* Guess Distribution *********
2022-02-28 22:16:26,857 | INFO | Attempt 1: 1
2022-02-28 22:16:26,857 | INFO | Attempt 2: 0
2022-02-28 22:16:26,857 | INFO | Attempt 3: 0
2022-02-28 22:16:26,857 | INFO | Attempt 4: 0
2022-02-28 22:16:26,857 | INFO | Attempt 5: 0
2022-02-28 22:16:26,858 | INFO | Attempt 6: 0
2022-02-28 22:16:29,589 | INFO | Current word: AARON
2022-02-28 22:16:39,279 | INFO | Attempt #1: aaron
2022-02-28 22:16:39,280 | INFO | Word match found !!!
2022-02-28 22:16:39,283 | INFO | ******* Statistics *********
2022-02-28 22:16:39,283 | INFO | Played: 2
2022-02-28 22:16:39,284 | INFO | Won%: 100.0
2022-02-28 22:16:39,284 | INFO | ******* Guess Distribution *********
2022-02-28 22:16:39,284 | INFO | Attempt 1: 1
2022-02-28 22:16:39,284 | INFO | Attempt 2: 0
2022-02-28 22:16:39,284 | INFO | Attempt 3: 0
2022-02-28 22:16:39,284 | INFO | Attempt 4: 0
2022-02-28 22:16:39,284 | INFO | Attempt 5: 0
2022-02-28 22:16:39,284 | INFO | Attempt 6: 0
2022-02-28 22:16:48,902 | INFO | Current word: AARON
2022-02-28 22:16:52,358 | INFO | Attempt #1: aaron
2022-02-28 22:16:52,359 | INFO | Word match found !!!
2022-02-28 22:16:52,363 | INFO | ******* Statistics *********
2022-02-28 22:16:52,363 | INFO | Played: 3
2022-02-28 22:16:52,363 | INFO | Won%: 100.0
2022-02-28 22:16:52,363 | INFO | ******* Guess Distribution *********
2022-02-28 22:16:52,363 | INFO | Attempt 1: 1
2022-02-28 22:16:52,363 | INFO | Attempt 2: 0
2022-02-28 22:16:52,364 | INFO | Attempt 3: 0
2022-02-28 22:16:52,364 | INFO | Attempt 4: 0
2022-02-28 22:16:52,364 | INFO | Attempt 5: 0
2022-02-28 22:16:52,364 | INFO | Attempt 6: 0
2022-03-05 22:07:23,349 | INFO | Current word: CLONE
2022-03-06 19:37:08,026 | INFO | Current word: ARRAY
2022-03-06 19:37:24,524 | INFO | Attempt #1: awesd
2022-03-06 19:41:07,889 | INFO | Current word: DELAY
2022-03-06 19:42:28,598 | INFO | Current word: RANGE
2022-03-06 19:42:56,004 | INFO | Current word: DRINK
2022-03-06 19:43:41,195 | INFO | Current word: COMES
2022-03-06 19:44:45,564 | INFO | Current word: KEEPS
